yr,sex,FirstForename,number,rank,position
2010,B,Mark,70,96,96
2010,B,Jude,69,97,97
2010,B,Luca,68,98,98
2010,B,Ciaran,67,99,99
2010,B,George,67,99,99
2011,B,Jack,650,1,1
2011,B,Lewis,498,2,2
2011,B,James,480,3,3
2011,B,Daniel,391,4,4
2011,B,Ethan,391,4,4
2011,B,Logan,386,6,6
2011,B,Alexander,346,7,7
2011,B,Harry,345,8,8
2011,B,Ryan,343,9,9
2011,B,Oliver,341,10,10
2011,B,Aaron,331,11,11
2011,B,Cameron,321,12,12
2011,B,Lucas,318,13,13
2011,B,Riley,306,14,14
2011,B,Matthew,305,15,15
2011,B,Callum,299,16,16
2011,B,Charlie,293,17,17
2011,B,Adam,288,18,18
2011,B,Finlay,281,19,19
2011,B,Aiden,279,20,20
2011,B,Dylan,278,21,21
2011,B,Jamie,274,22,22
2011,B,Alfie,270,23,23
2011,B,Kyle,266,24,24
2011,B,Liam,265,25,25
2011,B,Max,260,26,26
2011,B,Thomas,257,27,27
2011,B,Nathan,253,28,28
2011,B,Connor,238,29,29
2011,B,Jayden,227,30,30
2011,B,Mason,217,31,31
2011,B,Joshua,211,32,32
2011,B,Tyler,211,32,32
2011,B,Rory,205,34,34
2011,B,Andrew,204,35,35
2011,B,Jacob,203,36,36
2011,B,William,201,37,37
2011,B,Noah,198,38,38
2011,B,Kai,194,39,39
2011,B,Leo,193,40,40
2011,B,Archie,188,41,41
2011,B,Michael,176,42,42
2011,B,John,175,43,43
2011,B,Samuel,174,44,44
2011,B,Ben,173,45,45
2011,B,Luke,172,46,46
2011,B,Jay,164,47,47
2011,B,Cole,162,48,48
2011,B,Harris,160,49,49
2011,B,David,158,50,50
2011,B,Caleb,148,51,51
2011,B,Benjamin,141,52,52
2011,B,Fraser,139,53,53
2011,B,Joseph,136,54,54
2011,B,Jake,134,55,55
2011,B,Leon,134,55,55
2011,B,Rhys,134,55,55
2011,B,Aidan,131,58,58
2011,B,Josh,130,59,59
2011,B,Owen,130,59,59
2011,B,Robert,129,61,61
2011,B,Euan,128,62,62
2011,B,Kayden,125,63,63
2011,B,Sam,123,64,64
2011,B,Robbie,119,65,65
2011,B,Calum,118,66,66
2011,B,Arran,114,67,67
2011,B,Oscar,111,68,68
2011,B,Christopher,110,69,69
2011,B,Scott,109,70,70
2011,B,Brodie,108,71,71
2011,B,Angus,107,72,72
2011,B,Harrison,106,73,73
2011,B,Murray,104,74,74
2011,B,Reece,98,75,75
2011,B,Kaiden,96,76,76
2011,B,Muhammad,96,76,76
2011,B,Ewan,95,78,78
2011,B,Finn,94,79,79
2011,B,Ross,94,79,79
2011,B,Sean,89,81,81
2011,B,Ollie,88,82,82
2011,B,Kieran,87,83,83
2011,B,Blair,83,84,84
2011,B,Evan,82,85,85
2011,B,Jude,81,86,86
2011,B,Ruaridh,78,87,87
2011,B,Kian,77,88,88
2011,B,Isaac,75,89,89
2011,B,Mark,75,89,89
2011,B,Taylor,75,89,89
2011,B,Mohammed,73,92,92
2011,B,Cody,72,93,93
2011,B,Corey,72,93,93
2011,B,Declan,71,95,95
2011,B,Lennon,71,95,95
2011,B,Cooper,70,97,97
2011,B,Luca,70,97,97
2011,B,Hamish,68,99,99
2011,B,Jackson,68,99,99
2011,B,Zak,68,99,99
2012,B,Jack,539,1,1
2012,B,Lewis,438,2,2
2012,B,James,428,3,3
2012,B,Riley,418,4,4
2012,B,Logan,392,5,5
2012,B,Daniel,384,6,6
2012,B,Ethan,352,7,7
2012,B,Harry,331,8,8
2012,B,Alexander,327,9,9
2012,B,Oliver,311,10,10
2012,B,Max,306,11,11
2012,B,Charlie,298,12,12
2012,B,Finlay,296,13,13
2012,B,Tyler,296,13,13
2012,B,Aaron,295,15,15
2012,B,Adam,291,16,16
2012,B,Mason,287,17,17
2012,B,Alfie,284,18,18
2012,B,Ryan,278,19,19
2012,B,Liam,271,20,20
2012,B,Lucas,271,20,20
2012,B,Jamie,266,22,22
2012,B,Thomas,265,23,23
2012,B,Callum,259,24,24
2012,B,Cameron,258,25,25
2012,B,Dylan,252,26,26
2012,B,Kyle,249,27,27
2012,B,Harris,242,28,28
2012,B,Matthew,240,29,29
2012,B,Noah,240,29,29
2012,B,Rory,233,31,31
2012,B,Connor,225,32,32
2012,B,Joshua,225,32,32
2012,B,Nathan,219,34,34
2012,B,Jacob,216,35,35
2012,B,Aiden,200,36,36
2012,B,William,199,37,37
2012,B,Archie,197,38,38
2012,B,Leo,191,39,39
2012,B,Andrew,189,40,40
2012,B,Jayden,186,41,41
2012,B,Luke,183,42,42
2012,B,Rhys,158,43,43
2012,B,Kai,157,44,44
2012,B,David,155,45,45
2012,B,Cole,152,46,46
2012,B,Joseph,151,47,47
2012,B,Michael,151,47,47
2012,B,Samuel,145,49,49
2012,B,Leon,144,50,50
2012,B,John,139,51,51
2012,B,Benjamin,138,52,52
2012,B,Brodie,136,53,53
2012,B,Harrison,133,54,54
2012,B,Ben,127,55,55
2012,B,Robbie,127,55,55
2012,B,Josh,124,57,57
2012,B,Robert,124,57,57
2012,B,Owen,123,59,59
2012,B,Fraser,122,60,60
2012,B,Oscar,122,60,60
2012,B,Caleb,120,62,62
2012,B,Euan,113,63,63
2012,B,Jake,111,64,64
2012,B,Jay,111,64,64
2012,B,Finn,105,66,66
2012,B,Ross,104,67,67
2012,B,Calum,103,68,68
2012,B,Muhammad,103,68,68
2012,B,Blair,102,70,70
2012,B,Ollie,98,71,71
2012,B,Arran,97,72,72
2012,B,Angus,96,73,73
2012,B,Christopher,96,73,73
2012,B,Murray,96,73,73
2012,B,Scott,95,76,76
2012,B,Evan,93,77,77
2012,B,Cooper,91,78,78
2012,B,Sam,90,79,79
2012,B,Zac,90,79,79
2012,B,Kayden,87,81,81
2012,B,Alex,85,82,82
2012,B,Ewan,85,82,82
2012,B,Aidan,84,84,84
2012,B,George,84,84,84
2012,B,Olly,83,86,86
2012,B,Ruaridh,83,86,86
2012,B,Blake,79,88,88
2012,B,Declan,79,88,88
2012,B,Kaiden,79,88,88
2012,B,Isaac,77,91,91
2012,B,Reece,76,92,92
2012,B,Cody,74,93,93
2012,B,Calvin,73,94,94
2012,B,Luca,72,95,95
2012,B,Mark,71,96,96
2012,B,Shay,71,96,96
2012,B,Jude,69,98,98
2012,B,Sean,69,98,98
2012,B,Jackson,68,100,100
2012,B,Kian,68,100,100
2012,B,Kieran,68,100,100
2013,B,Jack,595,1,1
2013,B,James,434,2,2
2013,B,Lewis,382,3,3
2013,B,Oliver,361,4,4
2013,B,Daniel,359,5,5
2013,B,Logan,349,6,6
2013,B,Alexander,318,7,7
2013,B,Lucas,313,8,8
2013,B,Charlie,301,9,9
2013,B,Harry,299,10,10
2013,B,Mason,292,11,11
2013,B,Ethan,284,12,12
2013,B,Noah,282,13,13
2013,B,Harris,270,14,14
2013,B,Riley,265,15,15
2013,B,Finlay,259,16,16
2013,B,Alfie,257,17,17
2013,B,Jacob,249,18,18
2013,B,Max,247,19,19
2013,B,Adam,243,20,20
2013,B,Thomas,241,21,21
2013,B,Leo,238,22,22
2013,B,Cameron,236,23,23
2013,B,Ryan,234,24,24
2013,B,Aaron,232,25,25
2013,B,Matthew,229,26,26
2013,B,Nathan,225,27,27
2013,B,Kai,216,28,28
2013,B,Liam,216,28,28
2013,B,Archie,214,30,30
2013,B,Jamie,214,30,30
2013,B,Dylan,213,32,32
2013,B,Callum,207,33,33
2013,B,Joshua,202,34,34
2013,B,Tyler,193,35,35
2013,B,David,190,36,36
2013,B,Connor,189,37,37
2013,B,Luke,188,38,38
2013,B,William,187,39,39
2013,B,Oscar,185,40,40
2013,B,Kyle,184,41,41
2013,B,Rory,182,42,42
2013,B,Michael,169,43,43
2013,B,Andrew,164,44,44
2013,B,Aiden,159,45,45
2013,B,Samuel,153,46,46
2013,B,Brodie,148,47,47
2013,B,Jayden,147,48,48
2013,B,Joseph,142,49,49
2013,B,Harrison,137,50,50
2013,B,John,136,51,51
2013,B,Muhammad,134,52,52
2013,B,Benjamin,124,53,53
2013,B,Cole,124,53,53
2013,B,Robbie,122,55,55
2013,B,Leon,121,56,56
2013,B,Josh,119,57,57
2013,B,Caleb,116,58,58
2013,B,Cooper,116,58,58
2013,B,Jay,115,60,60
2013,B,Murray,115,60,60
2013,B,Sam,115,60,60
2013,B,Ben,114,63,63
2013,B,Fraser,114,63,63
2013,B,Finn,112,65,65
2013,B,Angus,109,66,66
2013,B,Calum,108,67,67
2013,B,Ruaridh,108,67,67
2013,B,Rhys,107,69,69
2013,B,Arran,106,70,70
2013,B,Kayden,105,71,71
2013,B,Euan,103,72,72
2013,B,Ollie,103,72,72
2013,B,Blake,100,74,74
2013,B,Christopher,98,75,75
2013,B,Robert,95,76,76
2013,B,Jake,92,77,77
2013,B,Blair,91,78,78
2013,B,Owen,91,78,78
2013,B,Isaac,87,80,80
2013,B,Jude,84,81,81
2013,B,Luca,83,82,82
2013,B,Aidan,81,83,83
2013,B,George,80,84,84
2013,B,Cody,76,85,85
2013,B,Ross,75,86,86
2013,B,Harvey,72,87,87
2013,B,Zac,72,87,87
2013,B,Alex,71,89,89
2013,B,Jackson,71,89,89
2013,B,Sean,71,89,89
2013,B,Calvin,70,92,92
2013,B,Hamish,69,93,93
2013,B,Kian,69,93,93
2013,B,Corey,68,95,95
2013,B,Callan,67,96,96
2013,B,Evan,67,96,96
2013,B,Reuben,67,96,96
2013,B,Declan,66,99,99
2013,B,Theo,66,99,99
2014,B,Jack,583,1,1
2014,B,James,466,2,2
2014,B,Lewis,411,3,3
2014,B,Oliver,403,4,4
2014,B,Logan,354,5,5
2014,B,Daniel,349,6,6
2014,B,Noah,321,7,7
2014,B,Charlie,320,8,8
2014,B,Lucas,310,9,9
2014,B,Alexander,309,10,10
2014,B,Mason,285,11,11
2014,B,Harris,276,12,12
2014,B,Max,274,13,13
2014,B,Harry,268,14,14
2014,B,Finlay,267,15,15
2014,B,Adam,266,16,16
2014,B,Aaron,264,17,17
2014,B,Ethan,259,18,18
2014,B,Cameron,256,19,19
2014,B,Jacob,256,19,19
2014,B,Callum,252,21,21
2014,B,Archie,239,22,22
2014,B,Alfie,236,23,23
2014,B,Leo,234,24,24
2014,B,Thomas,228,25,25
2014,B,Nathan,226,26,26
2014,B,Riley,223,27,27
2014,B,Rory,215,28,28
2014,B,Matthew,214,29,29
2014,B,Joshua,213,30,30
2014,B,Oscar,212,31,31
2014,B,Jamie,211,32,32
2014,B,Ryan,208,33,33
2014,B,Luke,195,34,34
2014,B,William,180,35,35
2014,B,Liam,178,36,36
2014,B,Dylan,176,37,37
2014,B,Samuel,166,38,38
2014,B,Andrew,163,39,39
2014,B,David,154,40,40
2014,B,John,154,40,40
2014,B,Connor,146,42,42
2014,B,Brodie,144,43,43
2014,B,Kyle,144,43,43
2014,B,Joseph,143,45,45
2014,B,Kian,142,46,46
2014,B,Benjamin,141,47,47
2014,B,Aiden,139,48,48
2014,B,Harrison,139,48,48
2014,B,Robert,135,50,50
2014,B,Ben,130,51,51
2014,B,Muhammad,130,51,51
2014,B,Michael,127,53,53
2014,B,Tyler,123,54,54
2014,B,Kai,120,55,55
2014,B,Euan,114,56,56
2014,B,Arran,112,57,57
2014,B,Jayden,112,57,57
2014,B,Jake,111,59,59
2014,B,Cole,110,60,60
2014,B,Ollie,110,60,60
2014,B,Sam,110,60,60
2014,B,Finn,109,63,63
2014,B,Leon,108,64,64
2014,B,Angus,107,65,65
2014,B,Caleb,107,65,65
2014,B,Ruaridh,107,65,65
2014,B,Josh,106,68,68
2014,B,Murray,105,69,69
2014,B,Fraser,104,70,70
2014,B,Isaac,104,70,70
2014,B,Owen,104,70,70
2014,B,Blake,101,73,73
2014,B,Jude,98,74,74
2014,B,Calum,93,75,75
2014,B,Cooper,93,75,75
2014,B,George,91,77,77
2014,B,Robbie,91,77,77
2014,B,Rhys,88,79,79
2014,B,Callan,87,80,80
2014,B,Christopher,87,80,80
2014,B,Evan,87,80,80
2014,B,Jay,86,83,83
2014,B,Theo,85,84,84
2014,B,Scott,83,85,85
2014,B,Luca,82,86,86
2014,B,Kayden,81,87,87
2014,B,Blair,80,88,88
2014,B,Freddie,79,89,89
2014,B,Zac,78,90,90
2014,B,Hamish,77,91,91
2014,B,Jackson,76,92,92
2014,B,Jaxon,76,92,92
2014,B,Calvin,75,94,94
2014,B,Carson,74,95,95
2014,B,Aidan,73,96,96
2014,B,Brody,73,96,96
2014,B,Zachary,73,96,96
2014,B,Alex,71,99,99
2014,B,Cody,71,99,99
2014,B,Mohammed,71,99,99
2015,B,Jack,565,1,1
2015,B,Oliver,448,2,2
2015,B,James,416,3,3
2015,B,Lewis,371,4,4
2015,B,Alexander,349,5,5
2015,B,Charlie,342,6,6
2015,B,Lucas,316,7,7
2015,B,Logan,311,8,8
2015,B,Harris,306,9,9
2015,B,Daniel,282,10,10
2015,B,Finlay,277,11,11
2015,B,Jacob,277,11,11
2015,B,Leo,275,13,13
2015,B,Mason,271,14,14
2015,B,Noah,265,15,15
2015,B,Harry,258,16,16
2015,B,Alfie,249,17,17
2015,B,Max,249,17,17
2015,B,Callum,248,19,19
2015,B,Aaron,242,20,20
2015,B,Adam,242,20,20
2015,B,Thomas,240,22,22
2015,B,Ethan,233,23,23
2015,B,Rory,233,23,23
2015,B,Cameron,221,25,25
2015,B,Archie,216,26,26
2015,B,Oscar,209,27,27
2015,B,Matthew,202,28,28
2015,B,Nathan,198,29,29
2015,B,Joshua,197,30,30
2015,B,Brodie,193,31,31
2015,B,William,181,32,32
2015,B,Liam,176,33,33
2015,B,Ryan,172,34,34
2015,B,Jamie,168,35,35
2015,B,Harrison,167,36,36
2015,B,Joseph,160,37,37
2015,B,Dylan,158,38,38
2015,B,Samuel,157,39,39
2015,B,Riley,156,40,40
2015,B,David,155,41,41
2015,B,Ollie,150,42,42
2015,B,Andrew,145,43,43
2015,B,Connor,144,44,44
2015,B,Luke,144,44,44
2015,B,Muhammad,141,46,46
2015,B,Jaxon,136,47,47
2015,B,Kyle,136,47,47
2015,B,Benjamin,133,49,49
2015,B,Michael,131,50,50
2015,B,Caleb,129,51,51
2015,B,Jackson,129,51,51
2015,B,George,127,53,53
2015,B,Finn,125,54,54
2015,B,Leon,123,55,55
2015,B,Fraser,122,56,56
2015,B,Murray,121,57,57
2015,B,Jake,120,58,58
2015,B,John,119,59,59
2015,B,Arran,115,60,60
2015,B,Angus,114,61,61
2015,B,Cole,114,61,61
2015,B,Robert,112,63,63
2015,B,Cooper,110,64,64
2015,B,Isaac,108,65,65
2015,B,Jayden,108,65,65
2015,B,Aiden,107,67,67
2015,B,Kai,107,67,67
2015,B,Theo,106,69,69
2015,B,Jude,105,70,70
2015,B,Ben,103,71,71
2015,B,Tyler,98,72,72
2015,B,Ruaridh,97,73,73
2015,B,Owen,95,74,74
2015,B,Blake,94,75,75
2015,B,Freddie,93,76,76
2015,B,Euan,92,77,77
2015,B,Josh,88,78,78
2015,B,Blair,85,79,79
2015,B,Robbie,85,79,79
2015,B,Hamish,84,81,81
2015,B,Kian,84,81,81
2015,B,Sam,83,83,83
2015,B,Aidan,81,84,84
2015,B,Jay,81,84,84
2015,B,Christopher,80,86,86
2015,B,Reuben,78,87,87
2015,B,Cody,76,88,88
2015,B,Luca,76,88,88
2015,B,Lachlan,75,90,90
2015,B,Elliot,72,91,91
2015,B,Evan,72,91,91
2015,B,Sonny,72,91,91
2015,B,Calum,70,94,94
2015,B,Henry,70,94,94
2015,B,Rhys,70,94,94
2015,B,Carson,69,97,97
2015,B,Harvey,68,98,98
2015,B,Calvin,66,99,99
2015,B,Callan,65,100,100
2015,B,Ross,65,100,100
2015,B,Zac,65,100,100
2016,B,Jack,491,1,1
2016,B,James,421,2,2
2016,B,Oliver,393,3,3
2016,B,Lewis,321,4,4
2016,B,Noah,307,5,5
2016,B,Logan,304,6,6
2016,B,Harry,303,7,7
2016,B,Alexander,302,8,8
2016,B,Leo,299,9,9
2016,B,Charlie,297,10,10
2016,B,Jacob,287,11,11
2016,B,Lucas,285,12,12
2016,B,Harris,274,13,13
2016,B,Finlay,259,14,14
2016,B,Alfie,257,15,15
2016,B,Ethan,257,15,15
2016,B,Mason,256,17,17
2016,B,Daniel,246,18,18
2016,B,Aaron,240,19,19
2016,B,Max,230,20,20
2016,B,Archie,228,21,21
2016,B,Matthew,227,22,22
2016,B,Thomas,225,23,23
2016,B,Adam,216,24,24
2016,B,Rory,211,25,25
2016,B,Nathan,206,26,26
2016,B,Joshua,196,27,27
2016,B,Callum,194,28,28
2016,B,Oscar,183,29,29
2016,B,Brodie,182,30,30
2016,B,Cameron,181,31,31
2016,B,Harrison,180,32,32
2016,B,William,174,33,33
2016,B,Finn,166,34,34
2016,B,Dylan,158,35,35
2016,B,Riley,157,36,36
2016,B,Liam,154,37,37
2016,B,Ollie,153,38,38
2016,B,Samuel,152,39,39
2016,B,Jaxon,151,40,40
2016,B,Connor,146,41,41
2016,B,Jamie,145,42,42
2016,B,Luke,142,43,43
2016,B,Caleb,141,44,44
2016,B,Theo,140,45,45
2016,B,Andrew,135,46,46
2016,B,Joseph,134,47,47
2016,B,Muhammad,134,47,47
2016,B,Jude,132,49,49
2016,B,Ryan,132,49,49
2016,B,Benjamin,128,51,51
2016,B,Arran,127,52,52
2016,B,Angus,123,53,53
2016,B,David,122,54,54
2016,B,Isaac,122,54,54
2016,B,John,121,56,56
2016,B,Cole,117,57,57
2016,B,Hamish,117,57,57
2016,B,Jackson,114,59,59
2016,B,Michael,114,59,59
2016,B,Robert,114,59,59
2016,B,Ben,107,62,62
2016,B,George,107,62,62
2016,B,Kai,107,62,62
2016,B,Luca,107,62,62
2016,B,Murray,107,62,62
2016,B,Kyle,106,67,67
2016,B,Leon,106,67,67
2016,B,Carter,105,69,69
2016,B,Aiden,103,70,70
2016,B,Blake,102,71,71
2016,B,Freddie,101,72,72
2016,B,Jake,99,73,73
2016,B,Owen,97,74,74
2016,B,Jayden,94,75,75
2016,B,Cooper,93,76,76
2016,B,Ruaridh,93,76,76
2016,B,Fraser,87,78,78
2016,B,Aidan,86,79,79
2016,B,Sam,84,80,80
2016,B,Blair,83,81,81
2016,B,Calvin,82,82,82
2016,B,Christopher,82,82,82
2016,B,Reuben,81,84,84
2016,B,Calum,80,85,85
2016,B,Euan,80,85,85
2016,B,Arthur,76,87,87
2016,B,Elliot,76,87,87
2016,B,Alex,75,89,89
2016,B,Zac,74,90,90
2016,B,Arlo,73,91,91
2016,B,Cody,72,92,92
2016,B,Henry,72,92,92
2016,B,Lachlan,72,92,92
2016,B,Robbie,72,92,92
2016,B,Josh,71,96,96
2016,B,Kayden,71,96,96
2016,B,Conor,70,98,98
2016,B,Hunter,69,99,99
2016,B,Callan,68,100,100
2016,B,Tyler,68,100,100
2017,B,Jack,486,1,1
2017,B,Oliver,380,2,2
2017,B,James,368,3,3
2017,B,Lewis,356,4,4
2017,B,Logan,324,5,5
2017,B,Noah,318,6,6
2017,B,Harris,299,7,7
2017,B,Alexander,297,8,8
2017,B,Leo,289,9,9
2017,B,Harry,282,10,10
2017,B,Alfie,275,11,11
2017,B,Finlay,262,12,12
2017,B,Jacob,258,13,13
2017,B,Charlie,257,14,14
2017,B,Aaron,236,15,15
2017,B,Lucas,235,16,16
2017,B,Rory,234,17,17
2017,B,Mason,231,18,18
2017,B,Archie,229,19,19
2017,B,Thomas,229,19,19
2017,B,Daniel,218,21,21
2017,B,Adam,208,22,22
2017,B,Cameron,205,23,23
2017,B,Max,203,24,24
2017,B,Finn,199,25,25
2017,B,Ethan,197,26,26
2017,B,Matthew,190,27,27
2017,B,Theo,187,28,28
2017,B,Nathan,178,29,29
2017,B,Oscar,177,30,30
2017,B,Joshua,173,31,31
2017,B,Brodie,170,32,32
2017,B,William,164,33,33
2017,B,Callum,160,34,34
2017,B,Harrison,156,35,35
2017,B,Muhammad,145,36,36
2017,B,Caleb,139,37,37
2017,B,Jude,135,38,38
2017,B,Samuel,135,38,38
2017,B,Jamie,134,40,40
2017,B,Ollie,134,40,40
2017,B,Liam,132,42,42
2017,B,Jaxon,127,43,43
2017,B,Luke,127,43,43
2017,B,Freddie,126,45,45
2017,B,Isaac,126,45,45
2017,B,Angus,125,47,47
2017,B,Riley,125,47,47
2017,B,Connor,123,49,49
2017,B,Andrew,117,50,50
2017,B,Ryan,117,50,50
2017,B,Dylan,113,52,52
2017,B,Cooper,110,53,53
2017,B,Cole,109,54,54
2017,B,Benjamin,106,55,55
2017,B,Blake,106,55,55
2017,B,David,106,55,55
2017,B,George,106,55,55
2017,B,Arran,105,59,59
2017,B,Jackson,104,60,60
2017,B,Arlo,102,61,61
2017,B,Joseph,102,61,61
2017,B,Hamish,101,63,63
2017,B,John,101,63,63
2017,B,Kai,99,65,65
2017,B,Michael,98,66,66
2017,B,Robert,97,67,67
2017,B,Hunter,96,68,68
2017,B,Carter,95,69,69
2017,B,Kyle,93,70,70
2017,B,Aiden,92,71,71
2017,B,Ruaridh,92,71,71
2017,B,Fraser,90,73,73
2017,B,Owen,90,73,73
2017,B,Murray,89,75,75
2017,B,Leon,87,76,76
2017,B,Blair,81,77,77
2017,B,Reuben,81,77,77
2017,B,Ben,80,79,79
